Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55871780,Skinship,Yoon Choi,"Choi, Yoon",,"=""0593318218""","=""9780593318218""",0,Knopf,Hardcover,304,2021,2021,,2026/09/06,to-read,to-read (#47),to-read,,,,0,0
52845775,Minor Feelings: An Asian American Reckoning,Cathy Park Hong,"Hong, Cathy Park",,"=""1984820362""","=""9781984820365""",0,One World,Hardcover,209,2020,2020,2026/08/19,2026/08/19,,,read,,,,1,0
38474,Another Country,James Baldwin,"Baldwin, James",,"=""0141186372""","=""9780141186375""",5.0,PENGUIN,Paperback,448,2006,1962,,2025/08/24,,,read,,,,1,0
7763,The Joy Luck Club,Amy Tan,"Tan, Amy",,"=""""","=""""",5.0,Penguin (Non-Classics),Paperback,288,2006,1989,,2026/08/19,,,read,,,,1,0
421,The White Album,Joan Didion,"Didion, Joan",,"=""0374532079""","=""9780374532079""",0,FSG Adult,Paperback,224,2009,1979,,2026/08/19,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,Simon & Schuster ,Paperback,453,2004,1961,,2026/08/19,,,read,,,,1,0
2956,"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",0,Penguin Classics,Paperback,327,2002,1885,,2026/08/19,,,read,,,,1,0
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",5.0,Vintage,Paperback,581,1995,1952,,2026/08/19,,,read,,,,1,0
136196611,By Aldous Huxley - Island,Aldous Huxley,"Huxley, Aldous",,"=""""","=""""",5.0,Harper Perennial Modern Classics,Paperback,0,2009,1945,,2026/08/19,,,read,,,,1,0
175675,Ragtime,E.L. Doctorow,"Doctorow, E.L.",,"=""0812978188""","=""9780812978186""",5.0,Random House,Paperback,320,2010,1975,,2026/08/19,,,read,,,,1,0
17810,In the Miso Soup,Ryū Murakami,"Murakami, Ryū",Ralph McCarthy,"=""014303569X""","=""9780143035695""",5.0,Penguin,Paperback,217,2006,1997,,2026/08/19,,,read,,,,1,0
77013,As I Lay Dying,William Faulkner,"Faulkner, William",,"=""""","=""""",5.0,Vintage,Paperback,270,1991,1930,,2026/08/19,,,read,,,,1,0
36123211,Anthem by Ayn Rand [Individualism and Dystopia: Ayn Rand's Anthem] (The Greatest Kindle Books of All Time),Ayn Rand,"Rand, Ayn",,"=""""","=""""",0,Prabhat Prakashan,Kindle Edition,99,2023,1938,,2026/08/19,,,read,,,,1,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",5.0,Scribner,Paperback,288,2005,2005,,2026/08/19,,,read,,,,1,0
436982,Notes from the Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Constance Garnett,"=""""","=""""",0,Dover Publications,Paperback,96,1992,1864,,2026/08/19,to-read,to-read (#46),to-read,,,,0,0
